misparmb,nefashot,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,c32-39 - סך הוצאות לא מזון,F_norm Sedentary cheapest- סך הוצאה נמוכה למספר הסלים,c3~ F_norm sedentary cheapest,,,misparmb,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2,c3^,zu
83980,2,19572,1542,18031,"1,506.38",TRUE,,,83980,19572,1542,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
81653,2,19819,1542,18278,"1,506.38",TRUE,,,81653,19819,1542,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
64048,2,16319,1545,14772,"1,506.38",TRUE,,,64048,16319,1545,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
21915,2,4112,1548,2564,"1,506.38",TRUE,,,21915,4112,1548,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
72710,2,9310,1550,7759,"1,506.38",TRUE,,,72710,9310,1550,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
56077,2,12694,1550,11144,"1,506.38",TRUE,,,56077,12694,1550,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
38695,2,12536,1555,10980,"1,585.66",TRUE,,,38695,12536,1555,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"15,308.01","15,308.01"
13268,2,8593,1556,7038,"1,585.66",TRUE,,,13268,8593,1556,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"15,308.01","15,308.01"
21634,2,29633,1556,28076,"1,506.38",TRUE,,,21634,29633,1556,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
30791,2,13162,1561,11602,"1,506.38",TRUE,,,30791,13162,1561,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
