misparmb,c3,FoodNorm-active,FoodNorm-sendetary,food_actual,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
17772,3185,951.40,"4,043.44","3,021.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
59329,3190,"1,109.96","4,043.44","3,394.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
66944,3191,"1,982.08","4,202.01","3,118.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
49080,3192,"1,982.08","4,202.01",562.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3962,3255,872.12,"4,202.01","1,019.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
79525,3260,"1,506.38","4,202.01","1,994.00",0,1,0,0,0,0,0,0,0,1,0,0,0,0
73361,3267,872.12,"4,202.01","3,253.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
3509,3269,"1,109.96","2,061.36","1,342.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
44511,3270,872.12,"2,061.36","1,575.00",0,0,0,0,0,0,0,0,0,0,0,1,0,0
67462,3276,"3,012.76","2,061.36","7,253.00",0,0,0,0,0,0,0,0,1,1,0,0,0,1
9449,3279,872.12,"3,012.76","2,603.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
596,3287,"2,219.93","3,012.76","2,151.00",1,0,1,0,0,0,0,0,0,0,0,1,0,0
88278,3288,"9,751.84","3,012.76","3,860.00",0,0,0,0,1,2,1,0,3,1,1,0,0,0
71811,3291,"1,189.25","3,012.76","1,283.00",0,0,0,0,0,0,0,0,1,0,0,0,0,0
8292,3299,"1,982.08","1,506.38","4,825.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
8664,3299,872.12,"1,506.38","1,977.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
2725,3312,"1,982.08","1,506.38","3,032.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
55491,3320,"1,109.96","1,506.38","2,762.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
83683,3344,872.12,"2,695.63","1,483.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
50237,3347,872.12,"2,695.63","1,186.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
37242,3356,951.40,"2,695.63","4,874.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
22020,3363,872.12,"2,695.63",888.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86942,3371,"1,109.96","2,933.48","3,944.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
10454,3384,"5,153.41","2,933.48",736.00,0,0,1,0,1,0,1,0,0,0,1,1,0,0
83576,3389,872.12,"2,933.48","1,186.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
33431,3391,951.40,"2,933.48","2,598.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
71084,3396,872.12,"1,506.38","1,752.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
52266,3417,"1,109.96","1,506.38",983.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34439,3423,"1,109.96","1,427.10","2,044.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
20925,3429,872.12,"1,427.10",891.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47142,3431,"2,140.65","1,664.95",807.00,0,0,0,0,0,0,0,0,1,1,0,0,0,0
13607,3441,"2,061.36","1,664.95","2,636.00",0,0,0,0,0,0,0,0,0,0,1,0,0,1
79533,3443,872.12,"1,585.66",736.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38679,3450,"1,982.08","1,585.66","1,244.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
52944,3465,"1,982.08",634.27,"3,184.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
42986,3473,"1,982.08","1,268.53","2,458.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
87726,3482,"1,189.25","1,268.53",0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11544,3485,"1,982.08",872.12,"1,214.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
17566,3486,872.12,"2,457.78","2,430.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
