misparmb,c3 - סך כל ההוצאות,F_norm Active cheapest - סך הוצאה נמוכה למספר הסלים,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
27185,3956,"1,744.23",0,0,0,0,0,0,0,0,0,0,0,1,0,1
7385,3963,872.12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12021,3963,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42309,3967,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
62984,3968,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
8631,3969,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
25205,3970,"1,744.23",0,0,0,0,0,1,0,0,0,0,0,0,0,1
24224,3978,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
73031,3982,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33571,3989,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
43398,3990,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
44818,3994,"3,250.61",2,0,0,0,0,0,0,0,0,1,1,0,0,0
10769,3996,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
29488,3996,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
40063,4000,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
14001,4004,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38802,4005,"3,171.33",0,0,0,0,0,0,0,0,1,0,0,0,1,1
42978,4012,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
24547,4014,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4358,4019,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3426,4038,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
34199,4057,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21998,4058,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47266,4058,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88609,4058,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
77610,4061,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56614,4066,"3,805.59",0,0,0,1,1,0,0,0,0,0,1,1,0,0
9720,4069,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
43026,4078,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55426,4082,"5,153.41",0,0,2,1,0,1,0,0,0,0,0,1,1,0
79764,4083,872.12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34371,4099,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
79319,4105,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
76273,4110,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66076,4111,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
21915,4112,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
54858,4117,"1,427.10",1,0,0,0,0,0,0,0,0,0,0,1,0,0
78212,4122,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46193,4129,"2,378.50",0,0,0,0,0,0,0,0,1,0,1,0,0,0
1727,4133,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
